duplicate_group_id,journey_id,touchpoint_position,num_duplicate_records,records_examined,record_retained,reason_retained,conflicting_fields,status
15,JRN-CUST-00494,6,2,TP-0001584;TP-0001585,TP-0001584,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
16,JRN-CUST-00518,1,2,TP-0001661;TP-0001662,TP-0001661,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
17,JRN-CUST-00561,2,2,TP-0001804;TP-0001805,TP-0001804,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
18,JRN-CUST-00568,1,2,TP-0001826;TP-0001827,TP-0001826,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
19,JRN-CUST-00637,2,2,TP-0002026;TP-0002027,TP-0002026,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
20,JRN-CUST-00668,4,2,TP-0002129;TP-0002130,TP-0002129,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
21,JRN-CUST-00716,4,2,TP-0002290;TP-0002291,TP-0002290,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
22,JRN-CUST-00726,1,2,TP-0002326;TP-0002327,TP-0002326,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
23,JRN-CUST-00728,1,2,TP-0002329;TP-0002330,TP-0002329,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
24,JRN-CUST-00781,1,2,TP-0002496;TP-0002497,TP-0002496,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
25,JRN-CUST-00826,5,2,TP-0002651;TP-0002652,TP-0002651,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
26,JRN-CUST-00851,3,2,TP-0002737;TP-0002738,TP-0002737,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
27,JRN-CUST-00870,2,2,TP-0002801;TP-0002802,TP-0002801,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
28,JRN-CUST-00972,6,2,TP-0003115;TP-0003116,TP-0003115,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
29,JRN-CUST-01000,6,2,TP-0003207;TP-0003208,TP-0003207,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
30,JRN-CUST-01041,2,2,TP-0003353;TP-0003354,TP-0003353,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
31,JRN-CUST-01044,2,2,TP-0003369;TP-0003370,TP-0003369,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
32,JRN-CUST-01155,2,2,TP-0003719;TP-0003720,TP-0003719,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
33,JRN-CUST-01192,6,2,TP-0003848;TP-0003849,TP-0003848,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
34,JRN-CUST-01238,5,2,TP-0003991;TP-0003992,TP-0003991,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
35,JRN-CUST-01314,1,2,TP-0004242;TP-0004243,TP-0004242,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
36,JRN-CUST-01321,2,2,TP-0004270;TP-0004271,TP-0004270,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
37,JRN-CUST-01327,2,2,TP-0004287;TP-0004288,TP-0004287,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
38,JRN-CUST-01337,7,2,TP-0004322;TP-0004323,TP-0004322,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
39,JRN-CUST-01416,7,2,TP-0004568;TP-0004569,TP-0004568,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
40,JRN-CUST-01438,2,2,TP-0004630;TP-0004631,TP-0004630,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
41,JRN-CUST-01468,2,2,TP-0004728;TP-0004729,TP-0004728,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
42,JRN-CUST-01473,2,2,TP-0004741;TP-0004742,TP-0004741,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
43,JRN-CUST-01494,3,2,TP-0004820;TP-0004821,TP-0004820,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
44,JRN-CUST-01543,3,2,TP-0004963;TP-0004964,TP-0004963,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
45,JRN-CUST-01594,2,2,TP-0005133;TP-0005134,TP-0005133,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
46,JRN-CUST-01642,2,2,TP-0005307;TP-0005308,TP-0005307,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
47,JRN-CUST-01700,2,2,TP-0005481;TP-0005482,TP-0005481,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
48,JRN-CUST-01709,4,2,TP-0005509;TP-0005510,TP-0005509,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
49,JRN-CUST-01766,2,2,TP-0005683;TP-0005684,TP-0005683,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
50,JRN-CUST-01775,1,2,TP-0005708;TP-0005709,TP-0005708,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
51,JRN-CUST-01810,2,2,TP-0005814;TP-0005815,TP-0005814,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
52,JRN-CUST-01954,1,2,TP-0006260;TP-0006261,TP-0006260,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
53,JRN-CUST-01957,3,2,TP-0006275;TP-0006276,TP-0006275,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
54,JRN-CUST-01986,1,2,TP-0006348;TP-0006349,TP-0006348,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
55,JRN-CUST-02003,3,2,TP-0006401;TP-0006402,TP-0006401,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
56,JRN-CUST-02054,1,2,TP-0006565;TP-0006566,TP-0006565,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
57,JRN-CUST-02058,4,2,TP-0006577;TP-0006578,TP-0006577,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
58,JRN-CUST-02065,2,2,TP-0006592;TP-0006593,TP-0006592,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
59,JRN-CUST-02067,3,2,TP-0006602;TP-0006603,TP-0006602,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
60,JRN-CUST-02196,5,2,TP-0007011;TP-0007012,TP-0007011,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
61,JRN-CUST-02201,2,2,TP-0007027;TP-0007028,TP-0007027,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
62,JRN-CUST-02224,1,2,TP-0007093;TP-0007094,TP-0007093,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
63,JRN-CUST-02234,5,2,TP-0007134;TP-0007135,TP-0007134,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
64,JRN-CUST-02235,2,2,TP-0007138;TP-0007139,TP-0007138,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
65,JRN-CUST-02260,1,2,TP-0007203;TP-0007204,TP-0007203,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
66,JRN-CUST-02279,4,2,TP-0007272;TP-0007273,TP-0007272,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
67,JRN-CUST-02332,3,2,TP-0007430;TP-0007431,TP-0007430,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
